,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Free Cash Flow,1065776300000.0,1129220100000.0,968484400000.0,433580300000.0
Repurchase Of Capital Stock,,,-2300000000.0,
Repayment Of Debt,-1701295800000.0,-1463100800000.0,-1400297900000.0,-558113600000.0
Issuance Of Debt,860672100000.0,661226300000.0,1155775200000.0,1022933100000.0
Issuance Of Capital Stock,,,75997300000.0,
Capital Expenditure,-52783600000.0,-66397300000.0,-53838000000.0,-43620300000.0
Interest Paid Supplemental Data,1850643100000.0,1803804000000.0,1407747200000.0,745487800000.0
Income Tax Paid Supplemental Data,223557300000.0,195409700000.0,199753400000.0,163674900000.0
End Cash Position,2547835100000.0,1982929800000.0,2086031400000.0,1387395200000.0
Other Cash Adjustment Outside Changein Cash,,,111817100000.0,
Beginning Cash Position,1982929800000.0,2086031400000.0,1387395200000.0,1122031100000.0
Effect Of Exchange Rate Changes,51098000000.0,-2011400000.0,1539300000.0,7036100000.0
Changes In Cash,513807300000.0,-101090200000.0,697096900000.0,258328000000.0
Financing Cash Flow,2972418500000.0,2419349000000.0,3347338700000.0,4173910400000.0
Cash Flow From Continuing Financing Activities,2972418500000.0,2419349000000.0,3347338700000.0,4173910400000.0
Net Other Financing Charges,128132900000.0,6006300000.0,3641400000.0,822700000.0
Proceeds From Stock Option Exercised,51085100000.0,63465000000.0,84425400000.0,34158300000.0
Cash Dividends Paid,-219070200000.0,-158058100000.0,-86617100000.0,-86394300000.0
Common Stock Dividend Paid,-219070200000.0,-158058100000.0,-86617100000.0,-86394300000.0
Net Common Stock Issuance,,,73697300000.0,
Common Stock Payments,,,-2300000000.0,
Common Stock Issuance,,,75997300000.0,
Net Issuance Payments Of Debt,-823071500000.0,-815311800000.0,-22272600000.0,1000549400000.0
Net Short Term Debt Issuance,17552200000.0,-13437300000.0,222250100000.0,535729900000.0
Net Long Term Debt Issuance,-840623700000.0,-801874500000.0,-244522700000.0,464819500000.0
Long Term Debt Payments,-1701295800000.0,-1463100800000.0,-1400297900000.0,-558113600000.0
Long Term Debt Issuance,860672100000.0,661226300000.0,1155775200000.0,1022933100000.0
Investing Cash Flow,-3577171100000.0,-3716056600000.0,-3672564200000.0,-4392783000000.0
Cash Flow From Continuing Investing Activities,-3577171100000.0,-3716056600000.0,-3672564200000.0,-4392783000000.0
Net Investment Purchase And Sale,-518816200000.0,-1552427900000.0,-767694600000.0,-563565000000.0
Sale Of Investment,3869738400000.0,3158044900000.0,3540580000000.0,1031731100000.0
Purchase Of Investment,-4388554600000.0,-4710472800000.0,-4308274600000.0,-1595296100000.0
Net Business Purchase And Sale,0.0,0.0,149800400000.0,0.0
Sale Of Business,0.0,0.0,149800400000.0,0.0
Net PPE Purchase And Sale,-47784900000.0,-65418200000.0,-52304100000.0,-43193500000.0
Sale Of PPE,4998700000.0,979100000.0,1533900000.0,426800000.0
Purchase Of PPE,-52783600000.0,-66397300000.0,-53838000000.0,-43620300000.0
Operating Cash Flow,1118559900000.0,1195617400000.0,1022322400000.0,477200600000.0
Cash Flow From Continuing Operating Activities,1118559900000.0,1195617400000.0,1022322400000.0,477200600000.0
Taxes Refund Paid,,,-228428400000.0,
Change In Working Capital,54443800000.0,168583400000.0,201319400000.0,-156465900000.0
Change In Other Working Capital,31789400000.0,300302800000.0,305750400000.0,-87892000000.0
Change In Other Current Liabilities,,,64204000000.0,
Change In Other Current Assets,-434459800000.0,-244897000000.0,77812000000.0,-113657600000.0
Change In Payables And Accrued Expense,462250100000.0,186061300000.0,-158138100000.0,96479600000.0
Change In Accrued Expense,453638200000.0,166702300000.0,-171089900000.0,66588000000.0
Change In Payable,8611900000.0,19359000000.0,12951800000.0,29891600000.0
Change In Account Payable,8611900000.0,19359000000.0,12951800000.0,29891600000.0
Change In Receivables,-5135900000.0,-72883700000.0,-24104900000.0,-51395900000.0
Changes In Account Receivables,-5135900000.0,-72883700000.0,-24104900000.0,-51395900000.0
Other Non Cash Items,65549000000.0,34725700000.0,18682300000.0,4569900000.0
Stock Based Compensation,22168700000.0,24633900000.0,20115800000.0,14014600000.0
Unrealized Gain Loss On Investment Securities,,,-69571400000.0,
Deferred Tax,-24426200000.0,-15613600000.0,-57133200000.0,12280900000.0
Deferred Income Tax,-24426200000.0,-15613600000.0,-57133200000.0,12280900000.0
Depreciation Amortization Depletion,61832300000.0,63021300000.0,52348300000.0,23489700000.0
Depreciation And Amortization,61832300000.0,63021300000.0,52348300000.0,23489700000.0
Amortization Cash Flow,20681600000.0,25237200000.0,21201000000.0,0.0
Amortization Of Intangibles,20681600000.0,25237200000.0,21201000000.0,0.0
Depreciation,41150700000.0,37784100000.0,31147300000.0,23489700000.0
Operating Gains Losses,-5593100000.0,13134700000.0,3908700000.0,987300000.0
Gain Loss On Investment Securities,-50331900000.0,-6825000000.0,-826700000.0,720300000.0
Net Foreign Currency Exchange Gain Loss,46618900000.0,20184600000.0,5554300000.0,276700000.0
Gain Loss On Sale Of PPE,-1880100000.0,-224900000.0,-748000000.0,-80600000.0
Gain Loss On Sale Of Business,,,-73414200000.0,
Net Income From Continuing Operations,727096400000.0,686531300000.0,627631900000.0,496264400000.0
