,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.2257,0.2031,0.1103,0.2508,
Total Unusual Items,,,0.0,,
Total Unusual Items Excluding Goodwill,,,0.0,,
Net Income From Continuing Operation Net Minority Interest,704793400000.0,673508300000.0,622656600000.0,495446900000.0,
Reconciled Depreciation,61832300000.0,63021300000.0,52348300000.0,23489700000.0,
Net Interest Income,1499769500000.0,1404485600000.0,1248003400000.0,913988500000.0,
Interest Expense,1860495500000.0,1823477000000.0,1533922800000.0,775538200000.0,
Interest Income,3360265000000.0,3227962600000.0,2781926200000.0,1689526700000.0,
Normalized Income,704793400000.0,673508300000.0,622656600000.0,495446900000.0,
Net Income From Continuing And Discontinued Operation,704793400000.0,673508300000.0,622656600000.0,495446900000.0,
Diluted Average Shares,15406371571.0,15318868212.0,7107452428.0,5587173328.0,
Basic Average Shares,15357462189.0,15255283286.0,14158592110.0,11131241124.0,
Diluted EPS,45.75,44.82,44.16,88.68,
Basic EPS,45.89,45.01,88.66,44.51,
Diluted NI Availto Com Stockholders,704793400000.0,673508300000.0,622656600000.0,495446900000.0,
Net Income Common Stockholders,704793400000.0,673508300000.0,622656600000.0,495446900000.0,
Net Income,704793400000.0,673508300000.0,622656600000.0,495446900000.0,
Minority Interests,-22303000000.0,-13023000000.0,-4975300000.0,-817500000.0,
Net Income Including Noncontrolling Interests,727096400000.0,686531300000.0,627631900000.0,496264400000.0,
Net Income Extraordinary,,,0.0,,
Net Income Continuous Operations,727096400000.0,686531300000.0,627631900000.0,496264400000.0,
Tax Provision,211931500000.0,175014900000.0,77827100000.0,166117400000.0,
Pretax Income,939027900000.0,861546200000.0,705459000000.0,662381800000.0,
Other Non Operating Income Expenses,-36789600000.0,-62950500000.0,-79169800000.0,,
Special Income Charges,,,0.0,,
Gain On Sale Of Security,64445100000.0,44469200000.0,19456100000.0,14574900000.0,
Depreciation Amortization Depletion Income Statement,61832300000.0,63021300000.0,52348300000.0,23489700000.0,
Depreciation And Amortization In Income Statement,61832300000.0,63021300000.0,52348300000.0,23489700000.0,
Amortization,20681600000.0,25237200000.0,21201000000.0,0.0,
Amortization Of Intangibles Income Statement,20681600000.0,25237200000.0,21201000000.0,0.0,
Depreciation Income Statement,41150700000.0,37784100000.0,31147300000.0,23489700000.0,
Selling General And Administration,628690500000.0,592009400000.0,569796800000.0,400219800000.0,
General And Administrative Expense,628690500000.0,592009400000.0,569796800000.0,400219800000.0,
Other Gand A,310095800000.0,292757700000.0,281020800000.0,200493000000.0,
Insurance And Claims,,532867100000.0,381965800000.0,0.0,0.0
Salaries And Wages,318594700000.0,299251700000.0,288776000000.0,199726800000.0,
Total Revenue,1925667800000.0,1838641100000.0,1604968500000.0,1205375000000.0,
Operating Revenue,1925667800000.0,1838641100000.0,1604968500000.0,1205375000000.0,
Occupancy And Equipment,91055300000.0,77733600000.0,65131500000.0,45069900000.0,
Other Non Interest Expense,,,79169800000.0,,
