,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Ordinary Shares Number,2349591262.0,2349591262.0,2349591262.0,2349591262.0
Share Issued,2349591262.0,2349591262.0,2349591262.0,2349591262.0
Total Debt,14780000000.0,16480000000.0,14840000000.0,12190000000.0
Tangible Book Value,-5080000000.0,36930000000.0,55050000000.0,45750000000.0
Invested Capital,487380000000.0,494030000000.0,512310000000.0,504020000000.0
Working Capital,34720000000.0,55140000000.0,84450000000.0,49700000000.0
Net Tangible Assets,-5080000000.0,36930000000.0,55050000000.0,45750000000.0
Capital Lease Obligations,14780000000.0,16470000000.0,14710000000.0,11210000000.0
Common Stock Equity,487380000000.0,494020000000.0,512180000000.0,503040000000.0
Total Capitalization,487380000000.0,494020000000.0,512180000000.0,503040000000.0
Total Equity Gross Minority Interest,490070000000.0,496090000000.0,514230000000.0,505220000000.0
Minority Interest,2690000000.0,2070000000.0,2050000000.0,2180000000.0
Stockholders Equity,487380000000.0,494020000000.0,512180000000.0,503040000000.0
Other Equity Interest,270000000.0,110000000.0,509830000000.0,500690000000.0
Retained Earnings,77260000000.0,86220000000.0,104430000000.0,95440000000.0
Additional Paid In Capital,403520000000.0,403520000000.0,403540000000.0,403560000000.0
Capital Stock,2350000000.0,2350000000.0,2350000000.0,2350000000.0
Common Stock,2350000000.0,2350000000.0,2350000000.0,2350000000.0
Total Liabilities Net Minority Interest,307450000000.0,302710000000.0,270760000000.0,225650000000.0
Total Non Current Liabilities Net Minority Interest,151960000000.0,137340000000.0,141970000000.0,105370000000.0
Other Non Current Liabilities,10000000.0,,,
Non Current Pension And Other Postretirement Benefit Plans,3290000000.0,3720000000.0,3950000000.0,4330000000.0
Tradeand Other Payables Non Current,36970000000.0,36060000000.0,42430000000.0,11080000000.0
Non Current Deferred Taxes Liabilities,74740000000.0,66850000000.0,65570000000.0,64210000000.0
Long Term Debt And Capital Lease Obligation,11040000000.0,12430000000.0,11060000000.0,8070000000.0
Long Term Capital Lease Obligation,11040000000.0,12430000000.0,11060000000.0,8070000000.0
Long Term Provisions,16840000000.0,15280000000.0,15760000000.0,13630000000.0
Current Liabilities,155490000000.0,165370000000.0,128790000000.0,120280000000.0
Other Current Liabilities,1510000000.0,1050000000.0,910000000.0,980000000.0
Current Debt And Capital Lease Obligation,3740000000.0,4050000000.0,3780000000.0,4120000000.0
Current Capital Lease Obligation,3740000000.0,4040000000.0,3650000000.0,3140000000.0
Current Debt,0.0,10000000.0,130000000.0,980000000.0
Current Provisions,2650000000.0,6750000000.0,3400000000.0,3890000000.0
Payables,143320000000.0,144930000000.0,112020000000.0,108340000000.0
Other Payable,7510000000.0,10230000000.0,7160000000.0,10360000000.0
Dividends Payable,2520000000.0,2520000000.0,2280000000.0,2240000000.0
Total Tax Payable,40000000.0,19030000000.0,0.0,
Accounts Payable,133250000000.0,113150000000.0,104860000000.0,95740000000.0
Total Assets,797520000000.0,798800000000.0,784990000000.0,730870000000.0
Total Non Current Assets,607310000000.0,578290000000.0,571750000000.0,560890000000.0
Other Non Current Assets,5740000000.0,6090000000.0,6080000000.0,6080000000.0
Non Current Prepaid Assets,4220000000.0,4440000000.0,3120000000.0,2860000000.0
Non Current Deferred Assets,10000000.0,10000000.0,10000000.0,10000000.0
Non Current Deferred Taxes Assets,140000000.0,170000000.0,100000000.0,100000000.0
Investmentin Financial Assets,1240000000.0,110000000.0,390000000.0,120000000.0
Held To Maturity Securities,0.0,0.0,0.0,0.0
Available For Sale Securities,120000000.0,90000000.0,370000000.0,100000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,1120000000.0,20000000.0,20000000.0,20000000.0
Long Term Equity Investment,0.0,570000000.0,650000000.0,690000000.0
Investments In Other Ventures Under Equity Method,0.0,570000000.0,650000000.0,690000000.0
Goodwill And Other Intangible Assets,492460000000.0,457090000000.0,457130000000.0,457290000000.0
Other Intangible Assets,311840000000.0,282430000000.0,282470000000.0,282630000000.0
Goodwill,180620000000.0,174660000000.0,174660000000.0,174660000000.0
Net PPE,91170000000.0,96900000000.0,91430000000.0,81120000000.0
Accumulated Depreciation,-64260000000.0,-62570000000.0,-55480000000.0,-47520000000.0
Gross PPE,155430000000.0,159470000000.0,146910000000.0,128640000000.0
Construction In Progress,9350000000.0,10650000000.0,11120000000.0,11630000000.0
Other Properties,13840000000.0,16660000000.0,15660000000.0,12510000000.0
Machinery Furniture Equipment,85210000000.0,87550000000.0,77900000000.0,67400000000.0
Buildings And Improvements,40670000000.0,38330000000.0,35900000000.0,31010000000.0
Land And Improvements,6360000000.0,6280000000.0,6330000000.0,6090000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,190210000000.0,220510000000.0,213240000000.0,169980000000.0
Other Current Assets,11590000000.0,9550000000.0,7130000000.0,7450000000.0
Hedging Assets Current,4280000000.0,570000000.0,290000000.0,190000000.0
Assets Held For Sale Current,140000000.0,230000000.0,120000000.0,120000000.0
Restricted Cash,2520000000.0,2520000000.0,2360000000.0,3100000000.0
Prepaid Assets,5530000000.0,6230000000.0,4690000000.0,4980000000.0
Inventory,47890000000.0,44150000000.0,40220000000.0,42510000000.0
Other Inventories,1560000000.0,1480000000.0,1370000000.0,1400000000.0
Finished Goods,23020000000.0,17800000000.0,15880000000.0,17470000000.0
Work In Process,4960000000.0,5300000000.0,5690000000.0,3990000000.0
Raw Materials,18350000000.0,19570000000.0,17280000000.0,19650000000.0
Other Receivables,4100000000.0,4790000000.0,3680000000.0,4760000000.0
Taxes Receivable,7870000000.0,3770000000.0,3140000000.0,3100000000.0
Accounts Receivable,33790000000.0,38190000000.0,29970000000.0,30790000000.0
Allowance For Doubtful Accounts Receivable,-770000000.0,-680000000.0,-650000000.0,-760000000.0
Gross Accounts Receivable,34560000000.0,38870000000.0,30620000000.0,31550000000.0
Cash Cash Equivalents And Short Term Investments,84090000000.0,120060000000.0,128770000000.0,80430000000.0
Other Short Term Investments,58260000000.0,59350000000.0,120520000000.0,73290000000.0
Cash And Cash Equivalents,25830000000.0,60710000000.0,8250000000.0,7140000000.0
Cash Equivalents,23970000000.0,59480000000.0,6330000000.0,6190000000.0
