,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-91600000.0,1567800000.0,668100000.0,83650000.0,
Tax Rate For Calcs,0.229,0.26,0.262,0.239,
Normalized EBITDA,156980000000.0,155690000000.0,152210000000.0,145750000000.0,
Total Unusual Items,-400000000.0,6030000000.0,2550000000.0,350000000.0,
Total Unusual Items Excluding Goodwill,-400000000.0,6030000000.0,2550000000.0,350000000.0,
Net Income From Continuing Operation Net Minority Interest,106330000000.0,106580000000.0,102770000000.0,101200000000.0,
Reconciled Depreciation,14360000000.0,13630000000.0,12160000000.0,11520000000.0,
Reconciled Cost Of Revenue,328360000000.0,309650000000.0,308920000000.0,327190000000.0,
EBITDA,156580000000.0,161720000000.0,154760000000.0,146100000000.0,
EBIT,142220000000.0,148090000000.0,142600000000.0,134580000000.0,
Net Interest Income,1360000000.0,3740000000.0,2120000000.0,2970000000.0,
Interest Expense,4100000000.0,3810000000.0,3340000000.0,1140000000.0,
Interest Income,5460000000.0,7550000000.0,5460000000.0,4110000000.0,
Normalized Income,106638400000.0,102117800000.0,100888100000.0,100933650000.0,
Net Income From Continuing And Discontinued Operation,150400000000.0,106490000000.0,102770000000.0,101200000000.0,
Total Expenses,500420000000.0,471200000000.0,475190000000.0,465390000000.0,
Rent Expense Supplemental,,530000000.0,810000000.0,790000000.0,820000000.0
Diluted Average Shares,2349889491.0,2349760716.0,2349591262.0,2349591262.0,
Basic Average Shares,2349591262.0,2349591262.0,2349591262.0,2349591262.0,
Diluted EPS,64.0,45.32,43.74,43.07,
Basic EPS,64.01,45.32,43.74,43.07,
Diluted NI Availto Com Stockholders,150400000000.0,106490000000.0,102770000000.0,101200000000.0,
Net Income Common Stockholders,150400000000.0,106490000000.0,102770000000.0,101200000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,150400000000.0,106490000000.0,102770000000.0,101200000000.0,
Minority Interests,-190000000.0,-220000000.0,-50000000.0,-230000000.0,
Net Income Including Noncontrolling Interests,150590000000.0,106710000000.0,102820000000.0,101430000000.0,
Net Income Extraordinary,,,,0.0,20000000.0
Net Income Discontinuous Operations,44070000000.0,-90000000.0,,-10000000.0,30000000.0
Net Income Continuous Operations,106520000000.0,106800000000.0,102820000000.0,101430000000.0,
Tax Provision,31600000000.0,37480000000.0,36440000000.0,32010000000.0,
Pretax Income,138120000000.0,144280000000.0,139260000000.0,133440000000.0,
Other Non Operating Income Expenses,50000000.0,60000000.0,130000000.0,5120000000.0,
Special Income Charges,-2350000000.0,3470000000.0,60000000.0,-640000000.0,
Other Special Charges,-4960000000.0,-6000000000.0,20000000.0,-1730000000.0,
Restructuring And Mergern Acquisition,7310000000.0,2530000000.0,-80000000.0,2370000000.0,
Net Non Operating Interest Income Expense,1360000000.0,3740000000.0,2120000000.0,2970000000.0,
Total Other Finance Cost,,,,,20000000.0
Interest Expense Non Operating,4100000000.0,3810000000.0,3340000000.0,1140000000.0,
Interest Income Non Operating,5460000000.0,7550000000.0,5460000000.0,4110000000.0,
Operating Income,137210000000.0,134530000000.0,134470000000.0,130100000000.0,
Operating Expense,172060000000.0,161550000000.0,166270000000.0,138200000000.0,
Other Operating Expenses,49350000000.0,48010000000.0,47570000000.0,39010000000.0,
Depreciation And Amortization In Income Statement,13330000000.0,12530000000.0,12160000000.0,11380000000.0,
Amortization,230000000.0,220000000.0,250000000.0,240000000.0,
Depreciation Income Statement,13100000000.0,12310000000.0,11910000000.0,11140000000.0,
Selling General And Administration,84680000000.0,79040000000.0,84940000000.0,68790000000.0,
Selling And Marketing Expense,84630000000.0,78990000000.0,84940000000.0,68790000000.0,
General And Administrative Expense,50000000.0,50000000.0,,,
Rent And Landing Fees,,530000000.0,810000000.0,790000000.0,820000000.0
Gross Profit,309270000000.0,296080000000.0,300740000000.0,268300000000.0,
Cost Of Revenue,328360000000.0,309650000000.0,308920000000.0,327190000000.0,
Total Revenue,637630000000.0,605730000000.0,609660000000.0,595490000000.0,
Operating Revenue,637630000000.0,605730000000.0,609660000000.0,595490000000.0,
