,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,635954240000.0,1180352527000.0,1536059319000.0,-62388729000.0,
Repayment Of Debt,-501532043000.0,-399331062000.0,-391468771000.0,-268917978000.0,
Issuance Of Debt,481787715000.0,404464948000.0,391968191000.0,417361966000.0,
Issuance Of Capital Stock,13606496000.0,14375199000.0,11708675000.0,9420691000.0,
Capital Expenditure,-37299949000.0,-47700055000.0,-36785464000.0,-24676808000.0,
End Cash Position,2649807233000.0,2140234637000.0,1627689026000.0,1364564928000.0,
Other Cash Adjustment Outside Changein Cash,0.0,0.0,7710668000.0,,-5586916000.0
Beginning Cash Position,2140234637000.0,1627689026000.0,1364564928000.0,1831259832000.0,
Effect Of Exchange Rate Changes,13059752000.0,1484292000.0,4234435000.0,3163063000.0,
Changes In Cash,496512844000.0,511061319000.0,251178995000.0,-469857967000.0,
Financing Cash Flow,-46605466000.0,55892342000.0,137645136000.0,247907176000.0,
Cash Flow From Continuing Financing Activities,-46605466000.0,55892342000.0,137645136000.0,247907176000.0,
Cash Dividends Paid,-78531534000.0,-70412665000.0,-55985964000.0,-34794463000.0,
Common Stock Dividend Paid,-78531534000.0,-70412665000.0,-55985964000.0,-34794463000.0,
Net Common Stock Issuance,13606496000.0,14375199000.0,11708675000.0,9420691000.0,
Common Stock Issuance,13606496000.0,14375199000.0,11708675000.0,9420691000.0,
Net Issuance Payments Of Debt,18319572000.0,111929808000.0,181922425000.0,273280948000.0,
Net Short Term Debt Issuance,38063900000.0,106795922000.0,181423005000.0,124836960000.0,
Net Long Term Debt Issuance,-19744328000.0,5133886000.0,499420000.0,148443988000.0,
Long Term Debt Payments,-501532043000.0,-399331062000.0,-391468771000.0,-268917978000.0,
Long Term Debt Issuance,481787715000.0,404464948000.0,391968191000.0,417361966000.0,
Investing Cash Flow,-130135879000.0,-772883605000.0,-1459310924000.0,-680053222000.0,
Cash Flow From Continuing Investing Activities,-130135879000.0,-772883605000.0,-1459310924000.0,-680053222000.0,
Net Investment Purchase And Sale,-94665319000.0,-725829665000.0,-1423224353000.0,-658250590000.0,
Net PPE Purchase And Sale,-35470560000.0,-47053940000.0,-36086571000.0,-21802632000.0,
Sale Of PPE,1829389000.0,646115000.0,698893000.0,2874176000.0,
Purchase Of PPE,-37299949000.0,-47700055000.0,-36785464000.0,-24676808000.0,
Operating Cash Flow,673254189000.0,1228052582000.0,1572844783000.0,-37711921000.0,
Cash Flow From Continuing Operating Activities,673254189000.0,1228052582000.0,1572844783000.0,-37711921000.0,
Taxes Refund Paid,-165479524000.0,-181164596000.0,-133436047000.0,-108754258000.0,
Change In Working Capital,-561350000.0,640177434000.0,1036350579000.0,-490783168000.0,
Change In Other Working Capital,1944553752000.0,2055588659000.0,2497285461000.0,1036377304000.0,
Change In Other Current Liabilities,492533925000.0,229962676000.0,302893172000.0,277742529000.0,
Change In Other Current Assets,-134938285000.0,-5176415000.0,18818794000.0,-165971353000.0,
Other Non Cash Items,-320262000.0,-215943000.0,30074409000.0,55482301000.0,
Stock Based Compensation,9687013000.0,7901495000.0,7029081000.0,5180508000.0,
Amortization Of Securities,,,,,18320870000.0
Depreciation Amortization Depletion,31226502000.0,26903750000.0,19958856000.0,16351038000.0,
Depreciation And Amortization,31226502000.0,26903750000.0,19958856000.0,16351038000.0,
Operating Gains Losses,17239000.0,-1462267000.0,16027944000.0,26510876000.0,
Gain Loss On Investment Securities,2903439000.0,-1023190000.0,16172037000.0,27053455000.0,
Gain Loss On Sale Of PPE,-2886200000.0,-439077000.0,-144093000.0,-542579000.0,
Net Income From Continuing Operations,735916383000.0,694640235000.0,596839961000.0,458300782000.0,
