,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,724436200.0,111086481.0,36141759.435988,162773700.0,
Tax Rate For Calcs,0.251,0.253,0.250822,0.3,
Total Unusual Items,2886200000.0,439077000.0,144093000.0,542579000.0,
Total Unusual Items Excluding Goodwill,2886200000.0,439077000.0,144093000.0,542579000.0,
Net Income From Continuing Operation Net Minority Interest,542077028000.0,510291955000.0,442563735000.0,340366408000.0,
Reconciled Depreciation,31226502000.0,26903750000.0,19958856000.0,16351038000.0,
Net Interest Income,1061898779000.0,973038112000.0,854077625000.0,705234219000.0,
Interest Expense,890285812000.0,890276529000.0,741081627000.0,505433879000.0,
Interest Income,1952184591000.0,1863314641000.0,1595159252000.0,1210668098000.0,
Normalized Income,539915264200.0,509963964481.0,442455783759.436,339986602700.0,
Net Income From Continuing And Discontinued Operation,542077028000.0,510291955000.0,442563735000.0,340366408000.0,
Rent Expense Supplemental,24336823000.0,,17054394000.0,15846567000.0,14085917000.0
Diluted Average Shares,7246882558.0,7167282439.0,7142732973.0,7114682274.0,
Basic Average Shares,7142831136.0,7047535896.0,7003698924.0,6966156365.0,
Diluted EPS,74.77,71.14,61.96,47.84,
Basic EPS,75.89,72.41,63.19,48.86,
Diluted NI Availto Com Stockholders,541839100000.0,509874000000.0,442563735000.0,340366408000.0,
Average Dilution Earnings,-237900000.0,-418000000.0,-688300000.0,,
Net Income Common Stockholders,542077028000.0,510291955000.0,442563735000.0,340366408000.0,
Net Income,542077028000.0,510291955000.0,442563735000.0,340366408000.0,
Minority Interests,-37285479000.0,-35401801000.0,-18241392000.0,-14246738000.0,
Net Income Including Noncontrolling Interests,579362474000.0,545693565000.0,460805103000.0,354613146000.0,
Net Income Extraordinary,0.0,0.0,,0.0,0.0
Net Income Continuous Operations,579362474000.0,545693565000.0,460805103000.0,354613146000.0,
Tax Provision,193839300000.0,184348300000.0,154276200000.0,117934400000.0,
Pretax Income,773201774000.0,730041865000.0,615081303000.0,354613146000.0,
Special Income Charges,2886200000.0,439077000.0,144093000.0,542579000.0,
Other Special Charges,-2886200000.0,-439077000.0,-144093000.0,-542579000.0,
Gain On Sale Of Security,45712210000.0,,30822095000.0,-2504473000.0,25126881000.0
Depreciation Amortization Depletion Income Statement,30609952000.0,26273160000.0,19352106000.0,15145592000.0,
Depreciation And Amortization In Income Statement,30609952000.0,,19352106000.0,15145592000.0,13300074000.0
Depreciation Income Statement,30609952000.0,26273160000.0,19352106000.0,15145592000.0,
Selling General And Administration,651002009000.0,552972889000.0,370325892000.0,301948279000.0,
Selling And Marketing Expense,51398030000.0,52494869000.0,66279545000.0,65407090000.0,
General And Administrative Expense,599603979000.0,500478020000.0,304046347000.0,236541189000.0,
Other Gand A,,,,10188362000.0,9324939000.0
Insurance And Claims,322475727000.0,241165358000.0,95126170000.0,68215530000.0,
Rent And Landing Fees,24336823000.0,,17054394000.0,15846567000.0,14085917000.0
Salaries And Wages,252791429000.0,236508575000.0,191865783000.0,152479092000.0,
Total Revenue,2234071181000.0,2047152637000.0,1612101952000.0,1355811552000.0,
Operating Revenue,2234071181000.0,2047152637000.0,1612101952000.0,1355811552000.0,
Occupancy And Equipment,46947554000.0,38200665000.0,36171827000.0,34644161000.0,
Professional Expense And Contract Services Expense,2649368000.0,,1759687000.0,2020560000.0,1926738000.0
Other Non Interest Expense,672407090000.0,658084121000.0,570657210000.0,470631640000.0,
