,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,3733000000.0,4088000000.0,2882000000.0,2534000000.0,
Repurchase Of Capital Stock,-2006000000.0,0.0,0.0,-1398000000.0,
Repayment Of Debt,-318000000.0,-396000000.0,-245000000.0,-151000000.0,
Capital Expenditure,-306000000.0,-263000000.0,-266000000.0,-319000000.0,
End Cash Position,2341000000.0,2861000000.0,1773000000.0,1481000000.0,
Beginning Cash Position,2861000000.0,1773000000.0,1481000000.0,2305000000.0,
Effect Of Exchange Rate Changes,-84000000.0,-27000000.0,-32000000.0,-171000000.0,
Changes In Cash,-436000000.0,1115000000.0,324000000.0,-653000000.0,
Financing Cash Flow,-4485000000.0,-2875000000.0,-2116000000.0,-3288000000.0,
Cash Flow From Continuing Financing Activities,-4485000000.0,-2875000000.0,-2116000000.0,-3288000000.0,
Net Other Financing Charges,-28000000.0,-64000000.0,-95000000.0,-46000000.0,
Proceeds From Stock Option Exercised,0.0,1000000.0,1000000.0,4000000.0,
Cash Dividends Paid,-2133000000.0,-2416000000.0,-1777000000.0,-1697000000.0,
Common Stock Dividend Paid,,,,-1697000000.0,-1703000000.0
Net Common Stock Issuance,-2006000000.0,0.0,0.0,-1398000000.0,
Common Stock Payments,-2006000000.0,0.0,0.0,-1398000000.0,
Net Issuance Payments Of Debt,-318000000.0,-396000000.0,-245000000.0,-151000000.0,
Net Long Term Debt Issuance,-318000000.0,-396000000.0,-245000000.0,-151000000.0,
Long Term Debt Payments,-318000000.0,-396000000.0,-245000000.0,-151000000.0,
Investing Cash Flow,10000000.0,-361000000.0,-708000000.0,-218000000.0,
Cash Flow From Continuing Investing Activities,10000000.0,-361000000.0,-708000000.0,-218000000.0,
Net Other Investing Changes,-23000000.0,-51000000.0,3000000.0,-28000000.0,
Interest Received Cfi,98000000.0,113000000.0,110000000.0,120000000.0,
Net Investment Purchase And Sale,318000000.0,217000000.0,-543000000.0,122000000.0,
Sale Of Investment,11193000000.0,10825000000.0,9914000000.0,10791000000.0,
Purchase Of Investment,-10875000000.0,-10608000000.0,-10457000000.0,-10669000000.0,
Net Business Purchase And Sale,-77000000.0,-377000000.0,-12000000.0,-113000000.0,
Purchase Of Business,-77000000.0,-377000000.0,-12000000.0,-113000000.0,
Capital Expenditure Reported,-306000000.0,-263000000.0,-266000000.0,-319000000.0,
Operating Cash Flow,4039000000.0,4351000000.0,3148000000.0,2853000000.0,
Cash Flow From Continuing Operating Activities,4039000000.0,4351000000.0,3148000000.0,2853000000.0,
Taxes Refund Paid,-973000000.0,-662000000.0,-1114000000.0,-1088000000.0,
Change In Working Capital,-259000000.0,-70000000.0,-623000000.0,-804000000.0,
Change In Other Working Capital,349000000.0,135000000.0,21000000.0,103000000.0,
Change In Other Current Liabilities,238000000.0,140000000.0,-182000000.0,407000000.0,
Change In Payables And Accrued Expense,-3000000.0,21000000.0,11000000.0,-35000000.0,
Change In Payable,-3000000.0,21000000.0,11000000.0,-35000000.0,
Change In Account Payable,-3000000.0,21000000.0,11000000.0,-35000000.0,
Change In Prepaid Assets,-260000000.0,-157000000.0,-151000000.0,-404000000.0,
Change In Receivables,-583000000.0,-209000000.0,-322000000.0,-875000000.0,
Other Non Cash Items,14000000.0,-30000000.0,-140000000.0,-39000000.0,
Stock Based Compensation,108000000.0,95000000.0,79000000.0,64000000.0,
Provisionand Write Offof Assets,-19000000.0,-13000000.0,9000000.0,15000000.0,
Asset Impairment Charge,4000000.0,6000000.0,15000000.0,35000000.0,
Deferred Tax,1190000000.0,1285000000.0,1177000000.0,1142000000.0,
Deferred Income Tax,1190000000.0,1285000000.0,1177000000.0,1142000000.0,
Depreciation Amortization Depletion,552000000.0,569000000.0,565000000.0,524000000.0,
Depreciation And Amortization,552000000.0,569000000.0,565000000.0,524000000.0,
Operating Gains Losses,106000000.0,9000000.0,11000000.0,21000000.0,
Net Foreign Currency Exchange Gain Loss,106000000.0,9000000.0,11000000.0,21000000.0,
Net Income From Continuing Operations,3316000000.0,3162000000.0,3169000000.0,2983000000.0,
