,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,25344000.0,17048572.071059,11374597.330879,19102545.454545,
Tax Rate For Calcs,0.264,0.288959,0.270824,0.276848,
Normalized EBITDA,5009000000.0,5006000000.0,4925000000.0,4615000000.0,
Total Unusual Items,96000000.0,59000000.0,42000000.0,69000000.0,
Total Unusual Items Excluding Goodwill,96000000.0,59000000.0,42000000.0,69000000.0,
Net Income From Continuing Operation Net Minority Interest,3313000000.0,3158000000.0,3167000000.0,2981000000.0,
Reconciled Depreciation,552000000.0,569000000.0,565000000.0,524000000.0,
Reconciled Cost Of Revenue,14079000000.0,13405000000.0,12975000000.0,12709000000.0,
EBITDA,5105000000.0,5065000000.0,4967000000.0,4684000000.0,
EBIT,4553000000.0,4496000000.0,4402000000.0,4160000000.0,
Net Interest Income,304000000.0,296000000.0,431000000.0,191000000.0,
Interest Expense,47000000.0,49000000.0,56000000.0,35000000.0,
Interest Income,351000000.0,345000000.0,487000000.0,226000000.0,
Normalized Income,3242344000.0,3116048572.071059,3136374597.330879,2931102545.454545,
Net Income From Continuing And Discontinued Operation,3313000000.0,3158000000.0,3167000000.0,2981000000.0,
Total Expenses,16069000000.0,15200000000.0,14713000000.0,14387000000.0,
Rent Expense Supplemental,,,,11000000.0,9000000.0
Total Operating Income As Reported,4085000000.0,4071000000.0,3834000000.0,3825000000.0,
Diluted Average Shares,4120108168.0,4152051184.0,4144680425.0,4187731070.0,
Basic Average Shares,4112814745.0,4141611738.0,4138568090.0,4180897857.0,
Diluted EPS,0.8,0.76,0.76,0.71,
Basic EPS,0.81,0.76,0.77,0.71,
Diluted NI Availto Com Stockholders,3313000000.0,3158000000.0,3167000000.0,2981000000.0,
Net Income Common Stockholders,3313000000.0,3158000000.0,3167000000.0,2981000000.0,
Net Income,3313000000.0,3158000000.0,3167000000.0,2981000000.0,
Minority Interests,-3000000.0,-4000000.0,-2000000.0,-2000000.0,
Net Income Including Noncontrolling Interests,3316000000.0,3162000000.0,3169000000.0,2983000000.0,
Net Income Continuous Operations,3316000000.0,3162000000.0,3169000000.0,2983000000.0,
Tax Provision,1190000000.0,1285000000.0,1177000000.0,1142000000.0,
Pretax Income,4506000000.0,4447000000.0,4346000000.0,4125000000.0,
Other Income Expense,113000000.0,74000000.0,66000000.0,109000000.0,
Other Non Operating Income Expenses,17000000.0,15000000.0,24000000.0,40000000.0,
Special Income Charges,-4000000.0,-6000000.0,-15000000.0,-35000000.0,
Write Off,4000000.0,6000000.0,15000000.0,35000000.0,
Gain On Sale Of Security,100000000.0,65000000.0,57000000.0,69000000.0,
Net Non Operating Interest Income Expense,304000000.0,296000000.0,431000000.0,191000000.0,
Interest Expense Non Operating,47000000.0,49000000.0,56000000.0,35000000.0,
Interest Income Non Operating,351000000.0,345000000.0,487000000.0,226000000.0,
Operating Income,4089000000.0,4077000000.0,3849000000.0,3825000000.0,
Operating Expense,1990000000.0,1795000000.0,1738000000.0,1678000000.0,
Other Operating Expenses,129000000.0,123000000.0,121000000.0,116000000.0,
Other Taxes,35000000.0,41000000.0,39000000.0,37000000.0,
Selling General And Administration,1826000000.0,1631000000.0,1578000000.0,1678000000.0,
Selling And Marketing Expense,225000000.0,201000000.0,168000000.0,776000000.0,
General And Administrative Expense,1601000000.0,1430000000.0,1410000000.0,902000000.0,
Other Gand A,419000000.0,379000000.0,400000000.0,902000000.0,
Insurance And Claims,37000000.0,35000000.0,25000000.0,21000000.0,
Rent And Landing Fees,,,,7000000.0,6000000.0
Salaries And Wages,1145000000.0,1016000000.0,985000000.0,905000000.0,
Gross Profit,6079000000.0,5872000000.0,5587000000.0,5503000000.0,
Cost Of Revenue,14079000000.0,13405000000.0,12975000000.0,12709000000.0,
Total Revenue,20158000000.0,19277000000.0,18562000000.0,18212000000.0,
Operating Revenue,20158000000.0,19277000000.0,18562000000.0,18212000000.0,
