,2026-03-31,2025-03-31,2022-12-31,2021-12-31
Ordinary Shares Number,,1928314320.0,1928314320.0,1928314320.0
Share Issued,,1928314320.0,1928314320.0,1928314320.0
Net Debt,,7035600000.0,,
Total Debt,,11668500000.0,2705200000.0,2664600000.0
Tangible Book Value,,40102100000.0,24591700000.0,19463800000.0
Invested Capital,,47635500000.0,24892000000.0,19804400000.0
Working Capital,,-9511900000.0,4104000000.0,-25600000.0
Net Tangible Assets,,40102100000.0,24591700000.0,19463800000.0
Capital Lease Obligations,,4135100000.0,2404900000.0,2324000000.0
Common Stock Equity,,40102100000.0,24591700000.0,19463800000.0
Total Capitalization,,40326900000.0,24858300000.0,19738500000.0
Total Equity Gross Minority Interest,,40102100000.0,24591700000.0,19463800000.0
Stockholders Equity,,40102100000.0,24591700000.0,19463800000.0
Other Equity Interest,,39137900000.0,23627500000.0,19880600000.0
Retained Earnings,49548000000.0,39020100000.0,15144300000.0,10694900000.0
Capital Stock,,964200000.0,964200000.0,964200000.0
Common Stock,,964200000.0,964200000.0,964200000.0
Total Liabilities Net Minority Interest,,81831100000.0,65195700000.0,62877500000.0
Total Non Current Liabilities Net Minority Interest,,34977600000.0,34398200000.0,35230100000.0
Other Non Current Liabilities,,136400000.0,173500000.0,199700000.0
Non Current Pension And Other Postretirement Benefit Plans,28236100000.0,30901500000.0,32051600000.0,32852600000.0
Non Current Deferred Revenue,187300000.0,136400000.0,173500000.0,199700000.0
Non Current Deferred Taxes Liabilities,,299600000.0,0.0,
Long Term Debt And Capital Lease Obligation,,3640100000.0,2173100000.0,2177800000.0
Long Term Capital Lease Obligation,,3415300000.0,1906500000.0,1903100000.0
Long Term Debt,,224800000.0,266600000.0,274700000.0
Long Term Provisions,,30901500000.0,32051600000.0,32845400000.0
Current Liabilities,,46853500000.0,30797500000.0,27647400000.0
Other Current Liabilities,604900000.0,1883900000.0,1169100000.0,465200000.0
Current Debt And Capital Lease Obligation,,8028400000.0,532100000.0,486800000.0
Current Capital Lease Obligation,,719800000.0,498400000.0,420900000.0
Current Debt,,7308600000.0,33700000.0,65900000.0
Pensionand Other Post Retirement Benefit Plans Current,6481900000.0,5319000000.0,3934100000.0,3182300000.0
Current Provisions,,2422800000.0,1607000000.0,1385400000.0
Payables,37248500000.0,30741700000.0,23915800000.0,21301700000.0
Other Payable,6730800000.0,6359200000.0,4057500000.0,3099300000.0
Dividends Payable,203000000.0,194700000.0,190000000.0,168800000.0
Total Tax Payable,,452500000.0,330200000.0,551900000.0
Accounts Payable,,23735300000.0,19338100000.0,17481700000.0
Total Assets,,121933200000.0,89787400000.0,82341300000.0
Total Non Current Assets,,84591600000.0,54885900000.0,54719500000.0
Other Non Current Assets,1497200000.0,1498200000.0,1280000000.0,1045500000.0
Non Current Prepaid Assets,1912800000.0,569300000.0,483300000.0,419000000.0
Non Current Deferred Taxes Assets,,,256100000.0,258400000.0
Other Investments,8726300000.0,9975700000.0,12338800000.0,13262900000.0
Investmentin Financial Assets,,0.0,5601900000.0,7107000000.0
Held To Maturity Securities,,,5601900000.0,7107000000.0
Available For Sale Securities,,554000000.0,5601900000.0,419000000.0
Long Term Equity Investment,,5750300000.0,,
Investmentsin Associatesat Cost,,5750300000.0,,
Net PPE,68384000000.0,66717200000.0,34835800000.0,32554000000.0
Accumulated Depreciation,-38946600000.0,-33224100000.0,-24303000000.0,-21240700000.0
Gross PPE,107330600000.0,99941300000.0,59138800000.0,53794700000.0
Construction In Progress,5479800000.0,11981100000.0,4398800000.0,2607300000.0
Other Properties,696100000.0,692100000.0,211100000.0,211100000.0
Machinery Furniture Equipment,73297500000.0,61792300000.0,37791200000.0,34707400000.0
Buildings And Improvements,25692500000.0,23323100000.0,15322000000.0,14853200000.0
Land And Improvements,2164700000.0,2152700000.0,1415700000.0,1415700000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,,37341600000.0,34901500000.0,27621800000.0
Other Current Assets,,3901900000.0,15500000.0,11800000.0
Hedging Assets Current,45600000.0,23400000.0,29800000.0,21100000.0
Assets Held For Sale Current,,,0.0,188800000.0
Restricted Cash,466600000.0,458700000.0,190000000.0,168800000.0
Prepaid Assets,1781300000.0,2445400000.0,545600000.0,613000000.0
Inventory,,28501400000.0,19287700000.0,15926500000.0
Other Inventories,938000000.0,766300000.0,943200000.0,823200000.0
Finished Goods,10922500000.0,8549700000.0,8436800000.0,6470200000.0
Work In Process,3372800000.0,4063400000.0,2322800000.0,1786700000.0
Raw Materials,10458900000.0,15122000000.0,7584900000.0,6846400000.0
Other Receivables,273600000.0,225200000.0,624700000.0,563700000.0
Taxes Receivable,,,0.0,293000000.0
Accounts Receivable,,3631500000.0,1918900000.0,1659700000.0
Allowance For Doubtful Accounts Receivable,-118000000.0,-85100000.0,-73400000.0,-44600000.0
Gross Accounts Receivable,3412700000.0,3716600000.0,1992300000.0,1704300000.0
Cash Cash Equivalents And Short Term Investments,14350700000.0,2056000000.0,12304800000.0,8187200000.0
Other Short Term Investments,1408600000.0,1558200000.0,3039300000.0,1001900000.0
Cash And Cash Equivalents,12942100000.0,497800000.0,9265500000.0,7185300000.0
Cash Financial,12942100000.0,497800000.0,9265500000.0,7185300000.0
