,2026-03-31,2025-03-31,2022-12-31,2021-12-31
Free Cash Flow,,9258900000.0,21875100000.0,15011600000.0
Repayment Of Debt,-7257000000.0,,0.0,-240000000.0
Issuance Of Debt,,7257000000.0,0.0,240000000.0
Capital Expenditure,,-20086400000.0,-5499200000.0,-7348400000.0
End Cash Position,,761800000.0,9964000000.0,7734400000.0
Beginning Cash Position,,7988500000.0,7734400000.0,24777400000.0
Changes In Cash,,-7226700000.0,2229600000.0,-17043000000.0
Financing Cash Flow,,-18463000000.0,-21227400000.0,-20199700000.0
Net Other Financing Charges,,-35000000.0,-66500000.0,-34100000.0
Interest Paid Cff,,-337200000.0,-181100000.0,-94600000.0
Cash Dividends Paid,,-24586000000.0,-20247300000.0,-19283100000.0
Common Stock Dividend Paid,,,-20247300000.0,-19283100000.0
Net Issuance Payments Of Debt,,7257000000.0,0.0,0.0
Net Short Term Debt Issuance,,7257000000.0,,
Short Term Debt Payments,-7257000000.0,,,
Short Term Debt Issuance,,7257000000.0,,
Net Long Term Debt Issuance,,,0.0,0.0
Long Term Debt Payments,,,0.0,-240000000.0
Long Term Debt Issuance,,,0.0,240000000.0
Investing Cash Flow,,-18109000000.0,-3917300000.0,-19203300000.0
Net Other Investing Changes,1701100000.0,1325800000.0,1287600000.0,264900000.0
Interest Received Cfi,,755300000.0,1031400000.0,1245800000.0
Net Investment Purchase And Sale,0.0,4238900000.0,254800000.0,-13787800000.0
Sale Of Investment,0.0,4238900000.0,254800000.0,0.0
Purchase Of Investment,,,0.0,-13787800000.0
Net Business Purchase And Sale,,-4391300000.0,-1070700000.0,368400000.0
Sale Of Business,,2664700000.0,350600000.0,368400000.0
Purchase Of Business,,-7056000000.0,-1421300000.0,0.0
Net PPE Purchase And Sale,,-20043900000.0,-5407000000.0,-7308400000.0
Sale Of PPE,,42500000.0,92200000.0,40000000.0
Purchase Of PPE,,-20086400000.0,-5499200000.0,-7348400000.0
Operating Cash Flow,,29345300000.0,27374300000.0,22360000000.0
Taxes Refund Paid,,-9904500000.0,-8411500000.0,-7286000000.0
Change In Working Capital,,-7469400000.0,-301900000.0,-1717500000.0
Change In Other Current Liabilities,,1926300000.0,1775600000.0,86800000.0
Change In Other Current Assets,-729900000.0,-1992300000.0,,
Change In Payable,,1341200000.0,1776300000.0,2172200000.0
Change In Inventory,,-7671000000.0,-3361200000.0,-1686300000.0
Change In Receivables,343200000.0,-700000000.0,-570500000.0,-415500000.0
Other Non Cash Items,,-238100000.0,-828900000.0,-1098600000.0
Depreciation And Amortization,6740500000.0,5181700000.0,4030100000.0,3901900000.0
Depreciation,6740500000.0,5181700000.0,4030100000.0,3901900000.0
Net Foreign Currency Exchange Gain Loss,,48200000.0,55800000.0,4900000.0
Gain Loss On Sale Of PPE,,-23800000.0,-62600000.0,-39700000.0
Gain Loss On Sale Of Business,,-1834200000.0,,
Net Income From Continuing Operations,,43161200000.0,32559700000.0,28573200000.0
