,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,297344318000.0,398467845000.0,174573048000.0,-900573111000.0,
Repurchase Of Capital Stock,,,,,0.0
Repayment Of Debt,-196720000000.0,-151039000000.0,-142882000000.0,-21250000000.0,
Issuance Of Debt,137385000000.0,215000000000.0,201646479000.0,195330926000.0,
Issuance Of Capital Stock,249945335000.0,1288000.0,0.0,64000.0,
Capital Expenditure,-83629582000.0,-56372241000.0,-41751262000.0,-40436315000.0,
End Cash Position,4018432094000.0,3579329428000.0,3265723035000.0,3183119097000.0,
Beginning Cash Position,3579329428000.0,3265723035000.0,3183119097000.0,3989051217000.0,
Effect Of Exchange Rate Changes,99308997000.0,22481669000.0,7759581000.0,30750546000.0,
Changes In Cash,339793669000.0,291124724000.0,74844357000.0,-836682666000.0,
Financing Cash Flow,-34271374000.0,-107367940000.0,-98962800000.0,63863820000.0,
Net Other Financing Charges,-5763152000.0,23623095000.0,29013368000.0,16396302000.0,
Interest Paid Cff,-77217098000.0,-72686140000.0,-85892532000.0,-63246256000.0,
Cash Dividends Paid,-141901459000.0,-122267183000.0,-100848115000.0,-63367216000.0,
Common Stock Dividend Paid,-141901459000.0,-122267183000.0,-100848115000.0,-63367216000.0,
Net Common Stock Issuance,249945335000.0,1288000.0,0.0,64000.0,
Common Stock Payments,,,,,0.0
Common Stock Issuance,249945335000.0,1288000.0,0.0,64000.0,
Net Issuance Payments Of Debt,-59335000000.0,63961000000.0,58764479000.0,174080926000.0,
Net Long Term Debt Issuance,-59335000000.0,63961000000.0,58764479000.0,174080926000.0,
Long Term Debt Payments,-196720000000.0,-151039000000.0,-142882000000.0,-21250000000.0,
Long Term Debt Issuance,137385000000.0,215000000000.0,201646479000.0,195330926000.0,
Investing Cash Flow,-6908857000.0,-56347422000.0,-42517153000.0,-40409690000.0,
Net Other Investing Changes,9299000.0,90009000.0,,,
Dividends Received Cfi,,90009000.0,55719000.0,26625000.0,31950000.0
Net Business Purchase And Sale,76711426000.0,-65190000.0,-821610000.0,0.0,
Sale Of Business,77794109000.0,10000000.0,0.0,0.0,
Purchase Of Business,-1082683000.0,-65190000.0,-821610000.0,0.0,
Net PPE Purchase And Sale,-83629582000.0,-56372241000.0,-41751262000.0,-40436315000.0,
Sale Of PPE,,,,6273898000.0,2543431000.0
Purchase Of PPE,,,,-46710213000.0,-33052601000.0
Operating Cash Flow,380973900000.0,454840086000.0,216324310000.0,-860136796000.0,
Taxes Refund Paid,-363229663000.0,-337614451000.0,-312682682000.0,-173237222000.0,
Change In Working Capital,-714613468000.0,-500156503000.0,-522230638000.0,-1753593949000.0,
Change In Other Current Liabilities,1242699889000.0,581846191000.0,1025002751000.0,757137397000.0,
Change In Other Current Assets,-627156704000.0,205421047000.0,-462369064000.0,-605317228000.0,
Other Non Cash Items,73972721000.0,75688977000.0,96615237000.0,65437306000.0,
Provisionand Write Offof Assets,215655780000.0,189782842000.0,83090862000.0,167004015000.0,
Depreciation And Amortization,48297185000.0,39914767000.0,38491245000.0,36955986000.0,
Depreciation,48297185000.0,39914767000.0,38491245000.0,36955986000.0,
Gain Loss On Investment Securities,38194501000.0,-51881940000.0,-48983591000.0,49199473000.0,
Gain Loss On Sale Of PPE,73171000.0,162293000.0,252054000.0,290316000.0,
Gain Loss On Sale Of Business,-23844050000.0,75190000.0,0.0,0.0,
Net Income From Continuing Operations,1121582973000.0,1049094768000.0,901864473000.0,744883041000.0,
