,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,479480000000.0,449710000000.0,416640000000.0,388650000000.0,
Repurchase Of Capital Stock,,0.0,-170000000000.0,0.0,-180000000000.0
Issuance Of Capital Stock,1260000000.0,0.0,,,1620000000.0
Capital Expenditure,-41460000000.0,-39370000000.0,-26740000000.0,-31000000000.0,
End Cash Position,64170000000.0,83420000000.0,90160000000.0,71230000000.0,
Beginning Cash Position,83420000000.0,90160000000.0,71230000000.0,124880000000.0,
Effect Of Exchange Rate Changes,9590000000.0,1740000000.0,650000000.0,5090000000.0,
Changes In Cash,-28840000000.0,-8480000000.0,18280000000.0,-58740000000.0,
Financing Cash Flow,-421330000000.0,-474380000000.0,-485360000000.0,-478780000000.0,
Net Other Financing Charges,740000000.0,280000000.0,-39590000000.0,-41740000000.0,
Interest Paid Cff,-9010000000.0,-8400000000.0,-6990000000.0,-7790000000.0,
Cash Dividends Paid,-394370000000.0,-448640000000.0,-251370000000.0,-413470000000.0,
Net Preferred Stock Issuance,1260000000.0,0.0,,,
Preferred Stock Issuance,1260000000.0,0.0,,,
Net Common Stock Issuance,,0.0,-170000000000.0,0.0,-180000000000.0
Common Stock Payments,,0.0,-170000000000.0,0.0,-180000000000.0
Common Stock Issuance,,,,,1620000000.0
Investing Cash Flow,-128450000000.0,-23180000000.0,60260000000.0,390000000.0,
Net Other Investing Changes,-10930000000.0,-10580000000.0,30000000.0,20000000.0,
Interest Received Cfi,30080000000.0,30560000000.0,29900000000.0,30800000000.0,
Dividends Received Cfi,840000000.0,400000000.0,260000000.0,130000000.0,
Net Investment Purchase And Sale,-40130000000.0,-4160000000.0,56570000000.0,83000000000.0,
Sale Of Investment,1581070000000.0,1560420000000.0,1561390000000.0,1425930000000.0,
Purchase Of Investment,-1621200000000.0,-1564580000000.0,-1504820000000.0,-1342930000000.0,
Net Business Purchase And Sale,-67500000000.0,0.0,,,
Purchase Of Business,-67500000000.0,0.0,,,
Net Intangibles Purchase And Sale,-3670000000.0,-9440000000.0,-4350000000.0,-3550000000.0,
Sale Of Intangibles,410000000.0,0.0,70000000.0,0.0,
Purchase Of Intangibles,-3670000000.0,-9440000000.0,-4420000000.0,-3550000000.0,
Net PPE Purchase And Sale,-37140000000.0,-29700000000.0,-22150000000.0,-27080000000.0,
Sale Of PPE,650000000.0,230000000.0,170000000.0,370000000.0,
Purchase Of PPE,-37790000000.0,-29930000000.0,-22320000000.0,-27450000000.0,
Operating Cash Flow,520940000000.0,489080000000.0,443380000000.0,419650000000.0,
Taxes Refund Paid,-143840000000.0,-155860000000.0,-124890000000.0,-129660000000.0,
Change In Working Capital,-22100000000.0,-33590000000.0,-68820000000.0,-42170000000.0,
Change In Other Current Liabilities,27970000000.0,10390000000.0,12830000000.0,11630000000.0,
Change In Other Current Assets,11570000000.0,-21570000000.0,-39000000000.0,140000000.0,
Change In Payable,-11050000000.0,37180000000.0,-6320000000.0,20360000000.0,
Change In Inventory,-80000000.0,70000000.0,0.0,-80000000.0,
Change In Receivables,-50510000000.0,-59660000000.0,-36330000000.0,-74220000000.0,
Other Non Cash Items,-27270000000.0,-25150000000.0,-30100000000.0,-24670000000.0,
Provisionand Write Offof Assets,11300000000.0,0.0,,,0.0
Deferred Tax,160330000000.0,165340000000.0,158980000000.0,146040000000.0,
Depreciation And Amortization,55600000000.0,52420000000.0,49850000000.0,50220000000.0,
Amortization Cash Flow,,7270000000.0,4790000000.0,4960000000.0,3550000000.0
Depreciation,55600000000.0,45150000000.0,45060000000.0,45260000000.0,
Gain Loss On Investment Securities,-7530000000.0,-3120000000.0,-3530000000.0,-2390000000.0,
Net Foreign Currency Exchange Gain Loss,-1760000000.0,-10000000.0,-170000000.0,-1890000000.0,
Gain Loss On Sale Of PPE,-170000000.0,-200000000.0,-70000000.0,-260000000.0,
Net Income From Continuing Operations,494540000000.0,487970000000.0,460990000000.0,423030000000.0,
