,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,-9018360000.0,445280000.0,-1912980950.691162,277560000.0
Tax Rate For Calcs,0.246,0.253,0.256432,0.257
Normalized EBITDA,759400000000.0,711930000000.0,685060000000.0,626000000000.0
Total Unusual Items,-36660000000.0,1760000000.0,-7460000000.0,1080000000.0
Total Unusual Items Excluding Goodwill,-36660000000.0,1760000000.0,-7460000000.0,1080000000.0
Net Income From Continuing Operation Net Minority Interest,492100000000.0,485530000000.0,459080000000.0,421470000000.0
Reconciled Depreciation,55600000000.0,52420000000.0,49850000000.0,50220000000.0
Reconciled Cost Of Revenue,1466030000000.0,1456830000000.0,1328710000000.0,1197590000000.0
EBITDA,722740000000.0,713690000000.0,677600000000.0,627080000000.0
EBIT,667140000000.0,661270000000.0,627750000000.0,576860000000.0
Net Interest Income,26270000000.0,25000000000.0,30030000000.0,24690000000.0
Interest Expense,12270000000.0,7960000000.0,7780000000.0,7790000000.0
Interest Income,38540000000.0,32960000000.0,37810000000.0,32480000000.0
Normalized Income,519741640000.0,484215280000.0,464627019049.30884,420667560000.0
Net Income From Continuing And Discontinued Operation,492100000000.0,485530000000.0,459080000000.0,421470000000.0
Total Expenses,1999990000000.0,1930310000000.0,1814680000000.0,1710810000000.0
Diluted Average Shares,3618087518.0,3618087518.0,3646851755.0,3659051373.0
Basic Average Shares,3618087518.0,3618087518.0,3646851755.0,3659051373.0
Diluted EPS,136.01,134.19,125.88,115.19
Basic EPS,136.01,134.19,125.88,115.19
Diluted NI Availto Com Stockholders,492100000000.0,485530000000.0,459080000000.0,421470000000.0
Net Income Common Stockholders,492100000000.0,485530000000.0,459080000000.0,421470000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,492100000000.0,485530000000.0,459080000000.0,421470000000.0
Minority Interests,-2440000000.0,-2440000000.0,-1910000000.0,-1560000000.0
Net Income Including Noncontrolling Interests,494540000000.0,487970000000.0,460990000000.0,423030000000.0
Net Income Continuous Operations,494540000000.0,487970000000.0,460990000000.0,423030000000.0
Tax Provision,160330000000.0,165340000000.0,158980000000.0,146040000000.0
Pretax Income,654870000000.0,653310000000.0,619970000000.0,569070000000.0
Other Non Operating Income Expenses,800000000.0,590000000.0,510000000.0,970000000.0
Special Income Charges,-43840000000.0,-930000000.0,-10580000000.0,-1160000000.0
Other Special Charges,28120000000.0,-350000000.0,9440000000.0,-240000000.0
Write Off,1840000000.0,1280000000.0,1140000000.0,1400000000.0
Restructuring And Mergern Acquisition,13880000000.0,0.0,,
Net Non Operating Interest Income Expense,26270000000.0,25000000000.0,30030000000.0,24690000000.0
Interest Expense Non Operating,12270000000.0,7960000000.0,7780000000.0,7790000000.0
Interest Income Non Operating,38540000000.0,32960000000.0,37810000000.0,32480000000.0
Operating Income,670220000000.0,622930000000.0,594250000000.0,543770000000.0
Operating Expense,533960000000.0,473480000000.0,485970000000.0,513220000000.0
Other Operating Expenses,176090000000.0,162930000000.0,145690000000.0,130730000000.0
Depreciation And Amortization In Income Statement,55600000000.0,52420000000.0,49850000000.0,50220000000.0
Depreciation Income Statement,55600000000.0,52420000000.0,49850000000.0,50220000000.0
Selling General And Administration,174370000000.0,140600000000.0,180810000000.0,235830000000.0
General And Administrative Expense,174370000000.0,140600000000.0,180810000000.0,235830000000.0
Gross Profit,1204180000000.0,1096410000000.0,1080220000000.0,1056990000000.0
Cost Of Revenue,1466030000000.0,1456830000000.0,1328710000000.0,1197590000000.0
Total Revenue,2670210000000.0,2553240000000.0,2408930000000.0,2254580000000.0
Operating Revenue,2670210000000.0,2553240000000.0,2408930000000.0,2254580000000.0
