,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,133713000000.0,154389000000.0,165706000000.0,115767000000.0,
Repurchase Of Capital Stock,0.0,0.0,-145173000000.0,0.0,
Repayment Of Debt,-271402000000.0,-188146000000.0,-140617000000.0,-178621000000.0,
Issuance Of Debt,253089000000.0,195595000000.0,120500000000.0,161034000000.0,
Issuance Of Capital Stock,33000000.0,27000000.0,13000000.0,12000000.0,
Capital Expenditure,-15603000000.0,-15037000000.0,-10510000000.0,-14834000000.0,
End Cash Position,105555000000.0,121974000000.0,96951000000.0,91861000000.0,
Beginning Cash Position,121974000000.0,96951000000.0,91861000000.0,103833000000.0,
Effect Of Exchange Rate Changes,8948000000.0,290000000.0,-239000000.0,2373000000.0,
Changes In Cash,-25367000000.0,24733000000.0,5329000000.0,-14345000000.0,
Financing Cash Flow,-141260000000.0,-63963000000.0,-182567000000.0,-60881000000.0,
Cash Flow From Continuing Financing Activities,-141260000000.0,-63963000000.0,-182567000000.0,-60881000000.0,
Net Other Financing Charges,-1438000000.0,,-1616000000.0,-1784000000.0,-1444000000.0
Interest Paid Cff,-6336000000.0,-8689000000.0,-10456000000.0,-8708000000.0,
Cash Dividends Paid,-115206000000.0,-62750000000.0,-5218000000.0,-32814000000.0,
Common Stock Dividend Paid,-115206000000.0,-62750000000.0,-5218000000.0,,-5467000000.0
Net Common Stock Issuance,33000000.0,27000000.0,-145160000000.0,12000000.0,
Common Stock Payments,0.0,0.0,-145173000000.0,0.0,
Common Stock Issuance,33000000.0,27000000.0,13000000.0,12000000.0,
Net Issuance Payments Of Debt,-18313000000.0,7449000000.0,-20117000000.0,-17587000000.0,
Net Long Term Debt Issuance,-18313000000.0,7449000000.0,-20117000000.0,-17587000000.0,
Long Term Debt Payments,-271402000000.0,-188146000000.0,-140617000000.0,-178621000000.0,
Long Term Debt Issuance,253089000000.0,195595000000.0,120500000000.0,161034000000.0,
Investing Cash Flow,-33423000000.0,-80730000000.0,11680000000.0,-84065000000.0,
Cash Flow From Continuing Investing Activities,-33423000000.0,-80730000000.0,11680000000.0,-84065000000.0,
Net Other Investing Changes,,,,27410000000.0,-27410000000.0
Interest Received Cfi,28878000000.0,26212000000.0,20111000000.0,14112000000.0,
Dividends Received Cfi,3000000.0,2299000000.0,3000000.0,3000000.0,
Net Investment Purchase And Sale,-21074000000.0,-95062000000.0,3529000000.0,-65747000000.0,
Sale Of Investment,816732000000.0,706520000000.0,978598000000.0,740885000000.0,
Purchase Of Investment,-837806000000.0,-801582000000.0,-975069000000.0,-806632000000.0,
Net Business Purchase And Sale,-26385000000.0,-964000000.0,-5775000000.0,-45555000000.0,
Sale Of Business,,0.0,0.0,11000000.0,1652000000.0
Purchase Of Business,-26385000000.0,-964000000.0,-5775000000.0,-45566000000.0,
Net PPE Purchase And Sale,-14845000000.0,-13215000000.0,-6188000000.0,-14288000000.0,
Sale Of PPE,758000000.0,,,,
Purchase Of PPE,-15603000000.0,-15037000000.0,-10510000000.0,-14834000000.0,
Operating Cash Flow,149316000000.0,169426000000.0,176216000000.0,130601000000.0,
Cash Flow From Continuing Operating Activities,149316000000.0,169426000000.0,176216000000.0,130601000000.0,
Taxes Refund Paid,-26245000000.0,-26175000000.0,-15360000000.0,-30218000000.0,
Change In Working Capital,-13924000000.0,10274000000.0,17411000000.0,-13952000000.0,
Change In Other Working Capital,3555000000.0,2341000000.0,-5053000000.0,-6522000000.0,
Change In Other Current Assets,-205000000.0,6609000000.0,8869000000.0,1055000000.0,
Change In Payables And Accrued Expense,8482000000.0,548000000.0,-435000000.0,-9824000000.0,
Change In Payable,8482000000.0,548000000.0,-435000000.0,-9824000000.0,
Change In Account Payable,8482000000.0,548000000.0,-435000000.0,-9824000000.0,
Change In Inventory,184000000.0,213000000.0,287000000.0,162000000.0,
Change In Receivables,-25940000000.0,563000000.0,13743000000.0,1177000000.0,
Changes In Account Receivables,-11442000000.0,1894000000.0,7824000000.0,-381000000.0,
Other Non Cash Items,-21865000000.0,-23601000000.0,-12156000000.0,-9779000000.0,
Stock Based Compensation,4465000000.0,5551000000.0,5584000000.0,3969000000.0,
Provisionand Write Offof Assets,2838000000.0,324000000.0,640000000.0,-604000000.0,
Deferred Tax,40767000000.0,42777000000.0,36089000000.0,33992000000.0,
Deferred Income Tax,40767000000.0,42777000000.0,36089000000.0,33992000000.0,
Depreciation Amortization Depletion,29107000000.0,29579000000.0,34071000000.0,33402000000.0,
Depreciation And Amortization,29107000000.0,29579000000.0,34071000000.0,33402000000.0,
Amortization Cash Flow,7787000000.0,7909000000.0,,,
Amortization Of Intangibles,7787000000.0,7909000000.0,,,
Depreciation,21320000000.0,21670000000.0,34071000000.0,33402000000.0,
Operating Gains Losses,1518000000.0,-1483000000.0,-1184000000.0,126000000.0,
Earnings Losses From Equity Investments,-257000000.0,-254000000.0,233000000.0,57000000.0,
Net Foreign Currency Exchange Gain Loss,2168000000.0,-623000000.0,655000000.0,152000000.0,
Gain Loss On Sale Of PPE,-393000000.0,-606000000.0,-2072000000.0,-89000000.0,
Gain Loss On Sale Of Business,,0.0,0.0,6000000.0,-2186000000.0
Net Income From Continuing Operations,132655000000.0,132180000000.0,111121000000.0,113665000000.0,
