,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,2409539900.0,2830576500.0,1166661600.0,1327793600.0,
Tax Rate For Calcs,0.2351,0.2445,0.2452,0.2302,
Normalized EBITDA,200189000000.0,202206000000.0,184783000000.0,183115000000.0,
Total Unusual Items,10249000000.0,11577000000.0,4758000000.0,5768000000.0,
Total Unusual Items Excluding Goodwill,10249000000.0,11577000000.0,4758000000.0,5768000000.0,
Net Income From Continuing Operation Net Minority Interest,131974000000.0,131354000000.0,110452000000.0,113500000000.0,
Reconciled Depreciation,29107000000.0,29579000000.0,34071000000.0,33402000000.0,
Reconciled Cost Of Revenue,635443000000.0,596508000000.0,631497000000.0,645446000000.0,
EBITDA,210438000000.0,213783000000.0,189541000000.0,188883000000.0,
EBIT,181331000000.0,184204000000.0,155470000000.0,155481000000.0,
Net Interest Income,13790000000.0,,,,
Interest Expense,7909000000.0,9247000000.0,8260000000.0,7824000000.0,
Interest Income,28367000000.0,27210000000.0,19478000000.0,16889000000.0,
Normalized Income,124134539900.0,122607576500.0,106860661600.0,109059793600.0,
Net Income From Continuing And Discontinued Operation,131974000000.0,131354000000.0,110452000000.0,113500000000.0,
Total Expenses,777114000000.0,740198000000.0,761844000000.0,769742000000.0,
Total Operating Income As Reported,151251000000.0,151271000000.0,136099000000.0,139606000000.0,
Diluted Average Shares,10476506978.0,10488939392.0,10611424628.0,10977982350.0,
Basic Average Shares,10476506978.0,10456741552.0,10576571110.0,10954933146.0,
Diluted EPS,12.56,12.52,10.41,10.34,
Basic EPS,12.6,12.56,10.44,10.365,
Diluted NI Availto Com Stockholders,131974000000.0,131354000000.0,110452000000.0,113500000000.0,
Net Income Common Stockholders,131974000000.0,,,,
Net Income,131974000000.0,131354000000.0,110452000000.0,113500000000.0,
Minority Interests,-681000000.0,-826000000.0,-669000000.0,-165000000.0,
Net Income Including Noncontrolling Interests,132655000000.0,132180000000.0,111121000000.0,113665000000.0,
Net Income Continuous Operations,132655000000.0,132180000000.0,111121000000.0,113665000000.0,
Tax Provision,40767000000.0,42777000000.0,36089000000.0,33992000000.0,
Pretax Income,173422000000.0,174957000000.0,147210000000.0,147657000000.0,
Other Income Expense,10506000000.0,11831000000.0,4525000000.0,5711000000.0,
Special Income Charges,272000000.0,553000000.0,2029000000.0,33000000.0,
Gain On Sale Of Ppe,272000000.0,553000000.0,2029000000.0,33000000.0,
Earnings From Equity Interest,257000000.0,254000000.0,-233000000.0,-57000000.0,
Gain On Sale Of Security,9977000000.0,11024000000.0,4758000000.0,5768000000.0,
Net Non Operating Interest Income Expense,13790000000.0,12440000000.0,6926000000.0,6812000000.0,
Total Other Finance Cost,6668000000.0,5523000000.0,4292000000.0,2253000000.0,
Interest Expense Non Operating,7909000000.0,9247000000.0,8260000000.0,7824000000.0,
Interest Income Non Operating,28367000000.0,27210000000.0,19478000000.0,16889000000.0,
Operating Income,149126000000.0,150686000000.0,135759000000.0,135134000000.0,
Operating Expense,120922000000.0,122396000000.0,130347000000.0,124296000000.0,
Other Operating Expenses,,,,-602000000.0,-2186000000.0
Provision For Doubtful Accounts,2838000000.0,324000000.0,640000000.0,-602000000.0,
Depreciation Amortization Depletion Income Statement,8358000000.0,8285000000.0,11981000000.0,10095000000.0,
Depreciation And Amortization In Income Statement,8358000000.0,8285000000.0,11981000000.0,10095000000.0,
Selling General And Administration,109726000000.0,113787000000.0,130347000000.0,124296000000.0,
Selling And Marketing Expense,7385000000.0,7920000000.0,69972000000.0,65157000000.0,
General And Administrative Expense,102341000000.0,105867000000.0,60375000000.0,59139000000.0,
Other Gand A,26608000000.0,25190000000.0,60375000000.0,59139000000.0,
Salaries And Wages,75733000000.0,80677000000.0,89835000000.0,80885000000.0,
Gross Profit,270048000000.0,273082000000.0,266106000000.0,259430000000.0,
Cost Of Revenue,656192000000.0,617802000000.0,631497000000.0,645446000000.0,
Total Revenue,926240000000.0,890884000000.0,897603000000.0,904876000000.0,
Operating Revenue,926240000000.0,890884000000.0,897603000000.0,904876000000.0,
